date,Chlorophyll,Salinity,Temperature,site
2013-02-14 00:00:00+00:00,46.38644068,33.62502825,11.46870056,Santa Cruz
2013-02-15 00:00:00+00:00,45.63402778,33.58458333,11.41208333,Santa Cruz
2013-02-16 00:00:00+00:00,50.19616725,33.56167247,11.41888502,Santa Cruz
2013-02-17 00:00:00+00:00,52.44269663,33.39269663,11.3805618,Santa Cruz
2013-02-18 00:00:00+00:00,51.16538462,33.505625,11.45591346,Santa Cruz
2013-02-19 00:00:00+00:00,54.78506944,33.45461806,11.37517361,Santa Cruz
2013-02-20 00:00:00+00:00,50.77569444,33.35472222,11.24173611,Santa Cruz
2013-02-21 00:00:00+00:00,6.295833333,21.60493056,10.56704861,Santa Cruz
2013-02-22 00:00:00+00:00,12.35,20.44402778,9.044756944,Santa Cruz
2013-02-23 00:00:00+00:00,57.46979167,33.4209375,11.37979167,Santa Cruz
2013-02-24 00:00:00+00:00,54.44409722,33.4340625,11.16170139,Santa Cruz
2013-02-25 00:00:00+00:00,24.41284722,33.26069444,11.43951389,Santa Cruz
2013-02-26 00:00:00+00:00,42.67595819,33.12902439,11.61240418,Santa Cruz
2013-02-27 00:00:00+00:00,56.61979167,33.01670139,11.49951389,Santa Cruz
2013-02-28 00:00:00+00:00,56.07692308,32.84384615,11.66846154,Santa Cruz
2013-03-01 00:00:00+00:00,61.83298611,32.73552083,11.7509375,Santa Cruz
2013-03-02 00:00:00+00:00,57.95229358,32.72743119,11.59697248,Santa Cruz
2013-03-03 00:00:00+00:00,16.04634146,21.49662021,11.67686411,Santa Cruz
2013-03-04 00:00:00+00:00,41.71080139,25.62634146,11.49752613,Santa Cruz
2013-03-05 00:00:00+00:00,64.65824561,32.86575439,11.46736842,Santa Cruz
2013-03-06 00:00:00+00:00,39.825,33.04944444,11.62013889,Santa Cruz
2013-03-07 00:00:00+00:00,3.292363636,33.75229091,10.5056,Santa Cruz
2013-03-08 00:00:00+00:00,-0.095017794,33.84836299,10.01185053,Santa Cruz
2013-03-09 00:00:00+00:00,-0.2625,33.89444444,11.02788194,Santa Cruz
2013-03-10 00:00:00+00:00,-0.194097222,22.78552083,10.74888889,Santa Cruz
2013-03-11 00:00:00+00:00,33.16701389,28.42055556,11.47427083,Santa Cruz
2013-03-12 00:00:00+00:00,14.48105263,20.75992982,12.24764912,Santa Cruz
2013-03-13 00:00:00+00:00,1.329818182,28.31309091,12.59963636,Santa Cruz
2013-03-14 00:00:00+00:00,1.9175,33.41885714,12.97846429,Santa Cruz
2013-03-15 00:00:00+00:00,1.847916667,33.52472222,13.00177083,Santa Cruz
2013-03-16 00:00:00+00:00,1.159722222,20.87211806,12.47552083,Santa Cruz
2013-03-17 00:00:00+00:00,-0.063888889,17.12809028,12.06590278,Santa Cruz
2013-03-18 00:00:00+00:00,-0.276388889,16.83861111,11.18003472,Santa Cruz
2013-03-19 00:00:00+00:00,-0.301388889,15.76621528,11.9565625,Santa Cruz
2013-03-20 00:00:00+00:00,-0.348263889,8.197083333,13.12583333,Santa Cruz
2013-03-21 00:00:00+00:00,4.737130802,17.88586498,12.05375527,Santa Cruz
2013-03-22 00:00:00+00:00,10.28041958,30.20685315,11.74395105,Santa Cruz
2013-03-23 00:00:00+00:00,4.649652778,8.755034722,11.48472222,Santa Cruz
2013-03-24 00:00:00+00:00,0.486111111,0.308645833,11.37177083,Santa Cruz
2013-03-25 00:00:00+00:00,4.573611111,19.81194444,11.91243056,Santa Cruz
2013-03-26 00:00:00+00:00,6.154513889,33.68510417,12.35534722,Santa Cruz
2013-03-27 00:00:00+00:00,7.436805556,33.61576389,12.18284722,Santa Cruz
2013-03-28 00:00:00+00:00,4.429378531,22.82231638,12.42423729,Santa Cruz
2013-03-29 00:00:00+00:00,0.064705882,0.253529412,12.46078431,Santa Cruz
2013-03-30 00:00:00+00:00,-0.195833333,0.199479167,12.61996528,Santa Cruz
2013-03-31 00:00:00+00:00,-0.282481752,0.200656934,13.26244526,Santa Cruz
2013-04-01 00:00:00+00:00,-0.387062937,0.222972028,13.63506993,Santa Cruz
2013-04-02 00:00:00+00:00,-0.373591549,0.245457746,13.12165493,Santa Cruz
2013-04-03 00:00:00+00:00,-0.342361111,0.279548611,12.41361111,Santa Cruz
2013-04-04 00:00:00+00:00,-0.324305556,0.308506944,12.48354167,Santa Cruz
2013-04-05 00:00:00+00:00,-0.348611111,0.306909722,13.59625,Santa Cruz
2013-04-06 00:00:00+00:00,-0.346875,0.297743056,13.08833333,Santa Cruz
2013-04-07 00:00:00+00:00,-0.291666667,0.302569444,12.91541667,Santa Cruz
2013-04-08 00:00:00+00:00,-0.285164835,0.296263736,11.6217033,Santa Cruz
2013-04-09 00:00:00+00:00,,,,Santa Cruz
2013-04-10 00:00:00+00:00,,,,Santa Cruz
2013-04-11 00:00:00+00:00,,,,Santa Cruz
2013-04-12 00:00:00+00:00,,,,Santa Cruz
2013-04-13 00:00:00+00:00,,,,Santa Cruz
2013-04-14 00:00:00+00:00,,,,Santa Cruz
2013-04-15 00:00:00+00:00,,,,Santa Cruz
2013-04-16 00:00:00+00:00,,,,Santa Cruz
2013-04-17 00:00:00+00:00,,,,Santa Cruz
2013-04-18 00:00:00+00:00,,,,Santa Cruz
2013-04-19 00:00:00+00:00,,,,Santa Cruz
2013-04-20 00:00:00+00:00,,,,Santa Cruz
2013-04-21 00:00:00+00:00,,,,Santa Cruz
2013-04-22 00:00:00+00:00,,,,Santa Cruz
2013-04-23 00:00:00+00:00,,,,Santa Cruz
2013-04-24 00:00:00+00:00,33.77862595,33.14725191,12.4248855,Santa Cruz
2013-04-25 00:00:00+00:00,33.0465704,33.35191336,12.07046931,Santa Cruz
2013-04-26 00:00:00+00:00,15.65972222,16.66923611,12.84569444,Santa Cruz
2013-04-27 00:00:00+00:00,0.620486111,0.190208333,12.52763889,Santa Cruz
2013-04-28 00:00:00+00:00,0.583972125,0.207944251,12.64240418,Santa Cruz
2013-04-29 00:00:00+00:00,0.658333333,0.170520833,13.96690972,Santa Cruz
2013-04-30 00:00:00+00:00,0.775655431,0.104868914,13.82449438,Santa Cruz
2013-05-01 00:00:00+00:00,0.853819444,0.084270833,13.02954861,Santa Cruz
2013-05-02 00:00:00+00:00,33.93850932,25.22583851,14.03409938,Santa Cruz
2013-05-03 00:00:00+00:00,26.66909722,33.37486111,14.01465278,Santa Cruz
2013-05-04 00:00:00+00:00,23.8381295,33.29161871,13.63830935,Santa Cruz
2013-05-05 00:00:00+00:00,28.24664311,33.31113074,13.39144876,Santa Cruz
2013-05-06 00:00:00+00:00,34.9477193,31.65740351,13.67610526,Santa Cruz
2013-05-07 00:00:00+00:00,42.06170213,33.34241135,13.20702128,Santa Cruz
2013-05-08 00:00:00+00:00,32.62021277,32.86439716,13.22861702,Santa Cruz
2013-05-09 00:00:00+00:00,26.62960289,32.99635379,13.20104693,Santa Cruz
2013-05-10 00:00:00+00:00,34.89175627,33.05297491,14.03247312,Santa Cruz
