dt,chl,cond,sal,wdensity,wtemp
2005-06-16 00:00:00+00:00,6.000390374331553,43.81568181818182,32.957701604278085,23.62592406417111,18.330514973262034
2005-06-17 00:00:00+00:00,4.605850000000004,44.05158749999998,32.97557555555553,23.584359444444438,18.55527944444444
2005-06-18 00:00:00+00:00,3.7909749999999973,43.91651388888889,32.98483472222225,23.627123055555558,18.400664166666665
2005-06-19 00:00:00+00:00,3.5364305555555573,43.75389611111112,32.921579444444426,23.600341944444427,18.309100277777766
2005-06-20 00:00:00+00:00,3.3193704735376044,43.72500194986071,32.87029387186631,23.551757660167148,18.34178022284122
2005-06-21 00:00:00+00:00,2.153047353760448,43.56526016713093,32.80945877437325,23.52822116991643,18.250157381615594
2005-06-22 00:00:00+00:00,2.0407138888888885,43.396797777777756,32.83571999999998,23.59840694444445,18.038575833333315
2005-06-23 00:00:00+00:00,2.1517833333333343,43.52599555555556,32.84059000000005,23.56931305555556,18.16765194444445
2005-06-24 00:00:00+00:00,2.0675527777777747,43.17544611111112,32.83459777777777,23.657490833333345,17.809837499999997
2005-06-25 00:00:00+00:00,1.2931333333333337,42.76877083333334,32.85244499999998,23.77593166666665,17.35549777777777
2005-06-26 00:00:00+00:00,0.725447222222222,43.16296638888886,32.83836111111109,23.66307666666665,17.79071083333332
2005-06-27 00:00:00+00:00,0.5004750000000001,42.926474722222224,32.83266999999999,23.71906444444446,17.549689722222208
2005-06-28 00:00:00+00:00,0.49625555555555545,42.22727027777778,32.840466944444415,23.89871555555557,16.79671277777777
2005-06-29 00:00:00+00:00,0.6297771587743729,42.40835459610026,32.8396590529248,23.853885793871857,16.99059721448468
2005-06-30 00:00:00+00:00,0.4739103641456586,42.142474229691864,32.83884593837535,23.91899775910363,16.710194117647053
2005-07-01 00:00:00+00:00,0.33419602272727317,41.111975568181826,32.84095426136364,24.16799857954545,15.607998295454559
2005-07-02 00:00:00+00:00,0.32423055555555513,40.98223750000001,32.81736527777777,24.178042500000007,15.50015111111111
2005-07-03 00:00:00+00:00,0.2810726256983238,41.95428435754189,32.78213491620114,23.906993575419,16.58017039106146
2005-07-04 00:00:00+00:00,0.1143749999999999,42.71581027777778,32.81375555555558,23.75154694444444,17.350051111111103
