dt,chl,sal,wtemp,site
2005-06-16 00:00:00+00:00,0.00125,33.407225,19.82181359,Newport
2005-06-17 00:00:00+00:00,0.001470588,33.44311709,19.6321395,Newport
2005-06-18 00:00:00+00:00,0.001852778,33.39833639,18.57530139,Newport
2005-06-19 00:00:00+00:00,0.001916667,33.37215972,18.27508611,Newport
2005-06-20 00:00:00+00:00,0.002166667,33.38902056,17.13049556,Newport
2005-06-21 00:00:00+00:00,0.002473538,33.38889972,16.13998858,Newport
2005-06-22 00:00:00+00:00,0.002551532,33.38170864,16.28820501,Newport
2005-06-23 00:00:00+00:00,0.002238889,33.34097528,17.17854167,Newport
2005-06-24 00:00:00+00:00,0.002356546,33.3647571,16.69044763,Newport
2005-06-25 00:00:00+00:00,0.002541667,33.37490111,16.09527333,Newport
2005-06-26 00:00:00+00:00,0.002388889,33.39299611,16.60915083,Newport
2005-06-27 00:00:00+00:00,0.002272222,33.40081722,16.64749389,Newport
2005-06-28 00:00:00+00:00,0.002275,33.41831389,16.70452917,Newport
2005-06-29 00:00:00+00:00,0.002544379,33.41228491,16.17873402,Newport
2005-06-30 00:00:00+00:00,0.002516556,33.36771954,16.13939007,Newport
2005-07-01 00:00:00+00:00,0.002674095,33.38580279,15.59158468,Newport
2005-07-02 00:00:00+00:00,0.002447222,33.39338667,16.35976889,Newport
2005-07-03 00:00:00+00:00,0.002411111,33.40581694,16.28375722,Newport
2005-07-04 00:00:00+00:00,0.002458333,33.43704306,16.518305,Newport
2005-07-05 00:00:00+00:00,0.00268314,33.45213605,15.72538576,Newport
2005-07-06 00:00:00+00:00,0.00253352,33.44860838,16.13397402,Newport
2005-07-07 00:00:00+00:00,0.002169916,33.44711838,17.53134373,Newport
2005-07-08 00:00:00+00:00,0.001811594,33.44533659,18.68140254,Newport
2005-07-09 00:00:00+00:00,0.001611111,33.44626889,19.07004861,Newport
2005-07-10 00:00:00+00:00,0.001508333,33.44651778,19.48227639,Newport
2005-07-11 00:00:00+00:00,0.001158333,33.44559583,20.13306,Newport
2005-07-12 00:00:00+00:00,0.001,33.43615861,20.76553611,Newport
2005-07-13 00:00:00+00:00,0.001,33.43037214,20.69121894,Newport
